,date,holiday_0,holiday_1,locale,store_nbr,transferred,sales,onpromotion,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend
0,1/1/2013,0,1,3,1,0,0,0,2013,1,1,1,1,1,1,0
1,1/1/2013,0,1,3,2,0,0,0,2013,1,1,1,1,1,1,0
2,1/1/2013,0,1,3,3,0,0,0,2013,1,1,1,1,1,1,0
3,1/1/2013,0,1,3,4,0,0,0,2013,1,1,1,1,1,1,0
4,1/1/2013,0,1,3,5,0,0,0,2013,1,1,1,1,1,1,0
5,1/1/2013,0,1,3,6,0,0,0,2013,1,1,1,1,1,1,0
6,1/1/2013,0,1,3,7,0,0,0,2013,1,1,1,1,1,1,0
7,1/1/2013,0,1,3,8,0,0,0,2013,1,1,1,1,1,1,0
8,1/1/2013,0,1,3,9,0,0,0,2013,1,1,1,1,1,1,0
9,1/1/2013,0,1,3,10,0,0,0,2013,1,1,1,1,1,1,0
10,1/1/2013,0,1,3,11,0,0,0,2013,1,1,1,1,1,1,0
11,1/1/2013,0,1,3,12,0,0,0,2013,1,1,1,1,1,1,0
12,1/1/2013,0,1,3,13,0,0,0,2013,1,1,1,1,1,1,0
13,1/1/2013,0,1,3,14,0,0,0,2013,1,1,1,1,1,1,0
14,1/1/2013,0,1,3,15,0,0,0,2013,1,1,1,1,1,1,0
15,1/1/2013,0,1,3,16,0,0,0,2013,1,1,1,1,1,1,0
16,1/1/2013,0,1,3,17,0,0,0,2013,1,1,1,1,1,1,0
17,1/1/2013,0,1,3,18,0,0,0,2013,1,1,1,1,1,1,0
18,1/1/2013,0,1,3,19,0,0,0,2013,1,1,1,1,1,1,0
19,1/1/2013,0,1,3,20,0,0,0,2013,1,1,1,1,1,1,0
20,1/1/2013,0,1,3,21,0,0,0,2013,1,1,1,1,1,1,0
21,1/1/2013,0,1,3,22,0,0,0,2013,1,1,1,1,1,1,0
22,1/1/2013,0,1,3,23,0,0,0,2013,1,1,1,1,1,1,0
23,1/1/2013,0,1,3,24,0,0,0,2013,1,1,1,1,1,1,0
24,1/1/2013,0,1,3,25,0,2511.618999,0,2013,1,1,1,1,1,1,0
25,1/1/2013,0,1,3,26,0,0,0,2013,1,1,1,1,1,1,0
26,1/1/2013,0,1,3,27,0,0,0,2013,1,1,1,1,1,1,0
27,1/1/2013,0,1,3,28,0,0,0,2013,1,1,1,1,1,1,0
28,1/1/2013,0,1,3,29,0,0,0,2013,1,1,1,1,1,1,0
29,1/1/2013,0,1,3,30,0,0,0,2013,1,1,1,1,1,1,0
30,1/1/2013,0,1,3,31,0,0,0,2013,1,1,1,1,1,1,0
31,1/1/2013,0,1,3,32,0,0,0,2013,1,1,1,1,1,1,0
32,1/1/2013,0,1,3,33,0,0,0,2013,1,1,1,1,1,1,0
33,1/1/2013,0,1,3,34,0,0,0,2013,1,1,1,1,1,1,0
34,1/1/2013,0,1,3,35,0,0,0,2013,1,1,1,1,1,1,0
35,1/1/2013,0,1,3,36,0,0,0,2013,1,1,1,1,1,1,0
36,1/1/2013,0,1,3,37,0,0,0,2013,1,1,1,1,1,1,0
37,1/1/2013,0,1,3,38,0,0,0,2013,1,1,1,1,1,1,0
38,1/1/2013,0,1,3,39,0,0,0,2013,1,1,1,1,1,1,0
39,1/1/2013,0,1,3,40,0,0,0,2013,1,1,1,1,1,1,0
40,1/1/2013,0,1,3,41,0,0,0,2013,1,1,1,1,1,1,0
41,1/1/2013,0,1,3,42,0,0,0,2013,1,1,1,1,1,1,0
42,1/1/2013,0,1,3,43,0,0,0,2013,1,1,1,1,1,1,0
43,1/1/2013,0,1,3,44,0,0,0,2013,1,1,1,1,1,1,0
44,1/1/2013,0,1,3,45,0,0,0,2013,1,1,1,1,1,1,0
45,1/1/2013,0,1,3,46,0,0,0,2013,1,1,1,1,1,1,0
46,1/1/2013,0,1,3,47,0,0,0,2013,1,1,1,1,1,1,0
47,1/1/2013,0,1,3,48,0,0,0,2013,1,1,1,1,1,1,0
48,1/1/2013,0,1,3,49,0,0,0,2013,1,1,1,1,1,1,0
49,1/1/2013,0,1,3,50,0,0,0,2013,1,1,1,1,1,1,0
